,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,productionCountries,originCountry,overview,CountryName,RuntimeMinutes
50,Uncharted,tt1464335,Uncharted (2022),No,,53300000,1:56,27600000,Uncharted,2022.0,movie,Uncharted,Uncharted,2022,116,"Action,Adventure","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",['United States of America'],116
51,Hotel Transylvania 3: Summer Vacation,tt5220122,Hotel Transylvania 3: Summer Vacation,No,,44200000,1:37,27300000,Hotel Transylvania 3: Summer Vacation,1000.0,movie,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,97,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",['United States of America'],97
52,The Twister: Caught in the Storm,tt35882698,The Twister: Caught in the Storm,Yes,2025-03-19,40500000,1:29,27300000,The Twister: Caught in the Storm,2025.0,movie,The Twister: Caught in the Storm,The Twister: Caught in the Storm,2025,89,Documentary,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",['GB'],"In May 2011, a massive tornado ripped through Joplin, Missouri. With pulse-pounding firsthand footage, this documentary goes inside a deadly twister.",['United Kingdom'],89
53,Sing: Thriller,tt33999453,Sing: Thriller,Yes,2024-10-16,5400000,0:12,27000000,Sing: Thriller,2024.0,short,Sing: Thriller,Sing: Thriller,2024,11,"Animation,Comedy,Family","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",['United States of America'],12
54,We Can Be Heroes,tt10600398,We Can Be Heroes,Yes,2020-12-25,45200000,1:41,26900000,We Can Be Heroes,2020.0,movie,We Can Be Heroes,We Can Be Heroes,2020,100,"Action,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",['United States of America'],101
55,Sonic the Hedgehog,tt3794354,Sonic the Hedgehog (2020),No,,44500000,1:41,26400000,Sonic the Hedgehog,2020.0,movie,Sonic the Hedgehog,Sonic the Hedgehog,2020,99,"Action,Adventure,Comedy","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.","['Japan', 'United States of America']",101
1,Dr. Seuss' The Grinch,tt2709692,Dr. Seuss' The Grinch,No,,37100000,1:26,25900000,Dr. Seuss' The Grinch,1000.0,movie,The Grinch,The Grinch,2018.0,85.0,"Animation,Comedy,Family","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,['United States of America'],86
58,Trolls Band Together,tt14362112,Trolls Band Together,No,,38600000,1:32,25200000,Trolls Band Together,1000.0,movie,Trolls Band Together,Trolls Band Together,2023,91,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",['United States of America'],92
2,Den of Thieves 2: Pantera,tt8008948,Den of Thieves 2: Pantera,No,,59900000,2:24,25000000,Den of Thieves 2: Pantera,1000.0,movie,Den of Thieves: Pantera,Den of Thieves: Pantera,2025.0,144.0,"Action,Crime,Drama","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous and unpredictable world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.","['Canada', 'United States of America']",144
61,Number 24,tt23782584,Number 24 // Nr. 24,No,2025-01-01,45100000,1:52,24200000,Number 24,2025.0,movie,Nr. 24,Nr. 24,2024,111,"Biography,Drama,War","[{'iso_3166_1': 'NO', 'name': 'Norway'}]",['NO'],"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",['Norway'],112
60,Inside Man: Most Wanted,tt7832848,Inside Man: Most Wanted,No,,42800000,1:46,24200000,Inside Man: Most Wanted,1000.0,movie,Inside Man: Most Wanted,Inside Man: Most Wanted,2019,105,"Action,Crime,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour seige at the U.S. Federal Reserve.,['United States of America'],106
62,Red Notice,tt7991608,Red Notice,Yes,2021-11-12,46600000,1:58,23700000,Red Notice,2021.0,movie,Red Notice,Red Notice,2021,118,"Action,Comedy,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",['United States of America'],118
63,Shrek the Third,tt0413267,Shrek the Third,No,,36600000,1:35,23100000,Shrek the Third,1000.0,movie,Shrek the Third,Shrek the Third,2007,93,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"The King of Far Far Away has died and Shrek and Fiona are to become King & Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",['United States of America'],95
64,Fear Street: Prom Queen,tt31433402,Fear Street: Prom Queen,Yes,2025-05-23,34400000,1:30,22900000,Fear Street: Prom Queen,2025.0,movie,Fear Street: Prom Queen,Fear Street: Prom Queen,2025,90,"Horror,Mystery,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Who will be voted queen at Shadyside High's 1988 prom? For underdog Lori, competition is cutthroat even before someone starts killing off the candidates.",['United States of America'],90
65,Jewel Thief - The Heist Begins,tt27843798,Jewel Thief - The Heist Begins // _____ ___ - The Heist Begins,Yes,2025-04-25,44600000,1:58,22700000,Jewel Thief - The Heist Begins,2025.0,movie,Jewel Thief: The Heist Begins,Jewel Thief: The Heist Begins,2025,116,"Action,Adventure,Thriller","[{'iso_3166_1': 'IN', 'name': 'India'}]",['IN'],"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",['India'],118
66,Trainwreck: Poop Cruise,tt36856455,Trainwreck: Poop Cruise,Yes,2025-06-24,20800000,0:55,22700000,Trainwreck: Poop Cruise,2025.0,movie,Trainwreck: Poop Cruise,Trainwreck: Poop Cruise,2025,55,Documentary,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","['GB', 'US']","An engine fire leaves 4,000 passengers stranded at sea without power and plumbing in this wild documentary about the infamous ""poop cruise"" of 2013.","['United Kingdom', 'United States of America']",55
67,Ma,tt7958736,Ma (2019),No,,37100000,1:39,22500000,Ma,2019.0,movie,Ma,Ma,2019,99,"Horror,Mystery,Thriller","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own.",['United States of America'],99
68,Leo,tt5755238,Leo,Yes,2023-11-21,39700000,1:47,22300000,Leo,2023.0,movie,Leo,Leo,2023,102,"Adventure,Animation,Comedy","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.","['Australia', 'United States of America']",107
69,Delicious,tt32047217,Delicious,Yes,2025-03-07,37700000,1:42,22200000,Delicious,2025.0,movie,Delicious,Delicious,2025,102,"Drama,Thriller","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",['DE'],"During their vacation in the French countryside, a wealthy German family becomes entangled with a young hotel worker harboring sinister intentions.",['Germany'],102
70,Trolls,tt1679335,Trolls,No,,34200000,1:33,22100000,Trolls,1000.0,movie,Trolls,Trolls,2016,92,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After the monstrous Bergens invade Troll Village, Princess Poppy, the happiest Troll ever born, and overly-cautious, curmudgeonly outcast Branch set off on a journey to rescue her friends. Their mission is full of adventure and mishaps, as this mismatched duo try to tolerate each other long enough to get the job done.",['United States of America'],93
71,The Heart Knows,tt33244550,The Heart Knows // Corazn Delator,No,2025-05-30,32600000,1:29,22000000,The Heart Knows,2025.0,movie,The Heart Knows,Corazón delator,2025,89,"Comedy,Drama,Romance","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",['AR'],"After a heart transplant, Manuel feels a personality shift and explores his donor's life, leading him to meet the widowed Vale and her community.",['Argentina'],89
72,Plane,tt5884796,Plane,No,,39100000,1:47,21900000,Plane,1000.0,movie,Plane,Plane,2023,107,"Action,Adventure,Thriller","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['GB'],"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.","['United Kingdom', 'United States of America']",107
73,The SpongeBob Movie: Sponge Out of Water,tt2279373,The SpongeBob Movie: Sponge Out of Water,No,,34900000,1:36,21800000,The SpongeBob Movie: Sponge Out of Water,1000.0,movie,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015,92,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.",['United States of America'],96
74,Hotel Transylvania,tt0837562,Hotel Transylvania (2012),No,,32700000,1:32,21300000,Hotel Transylvania,2012.0,movie,Hotel Transylvania,Hotel Transylvania,2012,91,"Animation,Comedy,Family","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",['United States of America'],92
75,Sonic the Hedgehog 2,tt12412888,Sonic the Hedgehog 2,No,,43400000,2:04,21000000,Sonic the Hedgehog 2,1000.0,movie,Sonic the Hedgehog 2,Sonic the Hedgehog 2,2022,122,"Action,Adventure,Comedy","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.","['Japan', 'United States of America']",124
3,Bogot: City of the Lost,tt22507374,Bogot: City of the Lost // ___: ___ ___ _,Yes,2025-02-03,37200000,1:47,20900000,Bogot: City of the Lost,2025.0,movie,Bogota: City of the Lost,Bogota: City of the Lost,2024.0,108.0,"Crime,Drama,Thriller","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",['KR'],"After moving to Bogotá for a chance at a better life, a young Korean man rises through the Colombian black market — risking peril for a shot at success.",['South Korea'],107
4,Bogot: City of the Lost,tt22507374,Bogot: City of the Lost // ___: ___ ___ _,Yes,2025-02-03,37200000,1:47,20900000,Bogot: City of the Lost,2025.0,movie,Bogota: City of the Lost,Bogota: City of the Lost,2024.0,108.0,"Crime,Drama,Thriller","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",['KR'],"After moving to Bogotá for a chance at a better life, a young Korean man rises through the Colombian black market — risking peril for a shot at success.",['South Korea'],107
77,Fast X,tt5433140,Fast X,No,,48500000,2:21,20600000,Fast X,1000.0,movie,Fast X,Fast X,2023,141,"Action,Adventure,Crime","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",['United States of America'],141
78,The Equalizer 3,tt17024450,The Equalizer 3,No,,37400000,1:49,20600000,The Equalizer 3,1000.0,movie,The Equalizer 3,The Equalizer 3,2023,109,"Action,Crime,Thriller","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.","['Italy', 'United States of America']",109
79,Damsel,tt13452446,Damsel,Yes,2024-03-08,37400000,1:50,20400000,Damsel,2024.0,movie,Damsel,Damsel,2024,110,"Action,Adventure,Fantasy","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,"['Spain', 'United States of America']",110
80,Back to the Outback,tt13575806,Back to the Outback,Yes,2021-12-10,32300000,1:36,20200000,Back to the Outback,2021.0,movie,Back to the Outback,Back to the Outback,2021,95,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","['AU', 'US']","Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",['United States of America'],96
81,Minions: The Rise of Gru,tt5113044,Minions: The Rise of Gru,No,,29500000,1:28,20100000,Minions: The Rise of Gru,1000.0,movie,Minions: The Rise of Gru,Minions: The Rise of Gru,2022,87,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",['United States of America'],88
82,Bad Boys: Ride or Die,tt4919268,Bad Boys: Ride or Die,No,,37900000,1:56,19600000,Bad Boys: Ride or Die,1000.0,movie,Bad Boys: Ride or Die,Bad Boys: Ride or Die,2024,115,"Action,Adventure,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",['United States of America'],116
83,Norbit,tt0477051,Norbit,No,,33600000,1:43,19600000,Norbit,1000.0,movie,Norbit,Norbit,2007,102,"Comedy,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams, and schemes to find a way to be with her.",['United States of America'],103
84,Woody Woodpecker Goes to Camp,tt20221690,Woody Woodpecker Goes to Camp,Yes,2024-04-12,32600000,1:40,19600000,Woody Woodpecker Goes to Camp,2024.0,movie,Woody Woodpecker Goes to Camp,Woody Woodpecker Goes to Camp,2024,100,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"After getting kicked out of the forest, Woody thinks he's found a forever home at Camp Woo Hoo — until an inspector threatens to shut down the camp.",['United States of America'],100
85,Under Paris,tt13964390,Under Paris // Sous la Seine,Yes,2024-06-05,33500000,1:44,19300000,Under Paris,2024.0,movie,Under Paris,Sous la Seine,2024,104,"Action,Drama,Horror","[{'iso_3166_1': 'FR', 'name': 'France'}]",['FR'],"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",['France'],104
86,Dungeons & Dragons: Honor Among Thieves,tt2906216,Dungeons & Dragons: Honor Among Thieves,No,,42900000,2:14,19200000,Dungeons & Dragons: Honor Among Thieves,1000.0,movie,Dungeons & Dragons: Honor Among Thieves,Dungeons & Dragons: Honor Among Thieves,2023,134,"Action,Adventure,Comedy","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","['Canada', 'United States of America']",134
87,Twilight,tt1099212,Twilight (2008),No,,38900000,2:02,19100000,Twilight,2008.0,movie,Twilight,Twilight,2008,122,"Drama,Fantasy,Romance","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.","['United Kingdom', 'United States of America']",122
88,White Chicks,tt0381707,White Chicks,No,,34400000,1:49,18900000,White Chicks,1000.0,movie,White Chicks,White Chicks,2004,109,"Comedy,Crime","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. To avoid being fired they accept a mission escorting a pair of socialites to the Hamptons--but when the girls are disfigured in a car accident, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from black men into rich white women.",['United States of America'],109
89,Saving Bikini Bottom: The Sandy Cheeks Movie,tt23063732,Saving Bikini Bottom: The Sandy Cheeks Movie,Yes,2024-08-02,27300000,1:27,18800000,Saving Bikini Bottom: The Sandy Cheeks Movie,2024.0,movie,Saving Bikini Bottom: The Sandy Cheeks Movie,Saving Bikini Bottom: The Sandy Cheeks Movie,2024,82,"Adventure,Animation,Comedy","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",['United States of America'],87
90,Grown Ups 2,tt2191701,Grown Ups 2,No,,31100000,1:41,18500000,Grown Ups 2,1000.0,movie,Grown Ups 2,Grown Ups 2,2013,101,Comedy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",['United States of America'],101
93,It Ends With Us,tt10655524,It Ends With Us,No,,40200000,2:11,18400000,It Ends With Us,1000.0,movie,It Ends with Us,It Ends with Us,2024,130,"Drama,Romance","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",['US'],"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",['United States of America'],131
